,Rank,NCTId,Condition,BriefTitle,InterventionType,LocationCountry,StartDate,CompletionDate,Country_Name
65,66,NCT03780270,Tooth Decay,Preventive Treatment Approach of Early Caries Lesions With Contemporary Methods of Remineralization,Device,,"June 16, 2014","December 31, 2016",
66,67,NCT01098357,Diabetic Foot Ulcers,Comparative Study of 3 Dose Regimens of BioChaperone to Becaplermin Gel for the Treatment of Diabetic Foot Ulcer,Drug,India|India|India|India|India|India|India,June 2010,September 2011,India
67,68,NCT00656474,Wounds,Efficacy Study of GLYC-101 to Evaluate Outcomes After Post-laser Ablation,Drug,United States,March 2008,August 2008,United States
68,69,NCT01567605,Spinal Cord Injury,Bowel Care and Cardiovascular Function After Spinal Cord Injury,Drug,Canada|Canada,March 2012,December 2018,Canada
69,70,NCT04147091,"Caries,Dental",Nano-hydroxyapatite and Ozone - Effect on Approximal Initial Caries,Other,,February 2012,December 2016,
70,71,NCT04053946,Surgical Wound|Surgical Site Infection|Surgical Wound Infection|Amputation Stump; Infection|Surgical Incision,Clinical Assessment of Next Science Wound Gels in Healing Below the Knee Amputation Surgical Wound Compared to SOC,Device,,"October 1, 2019","October 1, 2021",
71,72,NCT02577120,Chronic Wound|Burn Wound|Diabetic Foot Ulcers|Pressure Ulcers|Venous Leg Ulcers|Chronic|Wound,Wound Healing Endpoint and Recurrence,Device,United States,"January 9, 2019",December 2023,United States
72,73,NCT00471939,Burns,Safety and Efficacy of I-020502 in Meshed Skin Autografting,Drug,Germany,April 2007,January 2009,Germany
73,74,NCT03588130,Venous Leg Ulcer,A Study to Evaluate the Safety and the Efficacy of EscharEx (EX-02 Formulation) in Debridement of Venous Leg Ulcers,Drug,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Switzerland,"December 2, 2019",April 2022,United States
74,75,NCT00338702,Diabetic Foot Ulcer,"A Randomized, Controlled Trial of Autologous Platelet Gel Treatment in Diabetic Foot Ulcers",Procedure,Canada,March 2008,October 2009,Canada
75,76,NCT03612011,Grade 2 Hand-foot Syndrom,"Efficacy of the Cosmetic Product ""Onco-Repair"" on Grade 2 Hand Foot Syndrome",Other,France,"July 12, 2018","June 2, 2019",France
76,77,NCT03700580,"Diabetic Foot|Neuropathy, Diabetic|Foot Ulcer",Clinical Trial Using the Proteolytic Fraction P1G10 From V. Cundinamarcensis to Heal Diabetic Foot Ulcer,Drug,Brazil,"August 15, 2012","October 15, 2016",Brazil
77,78,NCT03248466,Diabetic Foot Ulcer,PRG Combined With Autologous BMMSCs for Treatment of Diabetic Foot Ulcer,Biological,China|China,"August 30, 2017","July 1, 2020",China
78,79,NCT04869306,"Tooth, Impacted",Effect of Hyaluronic Acid on Tissue Healing After Removal of Impacted Mandibular Third Molars (LM3),Device,,"May 1, 2021","May 1, 2023",
79,80,NCT03314090,Cleft Lip,Silicone Gel in the Treatment of Cleft Lip Scars,Drug,Taiwan,"January 28, 2014","October 12, 2017",Taiwan
80,81,NCT02220621,Intrauterine Adhesion,Efficacy and Safety of Crosslinked Hyaluronan Gel for Preventing Intrauterine Adhesion,Device,China|China|China,October 2011,,China
81,82,NCT01202487,Lacerations,Gluing Lacerations Utilizing Epinephrine,Drug,Canada,April 2011,April 2012,Canada
82,83,NCT01408056,Infantile Hemangiomas,Timolol Option for Ulcerated Hemangiomas (TOUCH Trial),Drug,United States,February 2011,January 2014,United States
83,84,NCT00005569,Healthy|Wound Healing,Effects of Topical SLPI on Skin Wounds,Drug,United States,April 2000,July 2003,United States
84,85,NCT04481802,Breast Cancer|Radiation Dermatitis,The Effect of RadiaAce Gel in the Prevention and Treatment of Radiation Dermatitis in Breast Cancer Patients,Device,Israel,"July 14, 2021",October 2022,Israel
85,86,NCT04090008,Diabetic Foot,A Randomized Trial on Platelet Rich Plasma Versus Saline Dressing of Diabetic Foot Ulcers,Drug,Egypt,"August 1, 2017","August 1, 2019",Egypt
86,87,NCT04275596,Anal Wound,Impact of Topical Antiadhesion Therapy on Wound Healing and Postoperative Pain After Anal Surgery,Drug,Egypt,"February 10, 2020","May 30, 2021",Egypt
87,88,NCT02134132,Diabetic Foot Ulcers,Utilization of Platelet Gel for Treatment of Diabetic Foot Ulcers,Biological,"Iran, Islamic Republic of",January 2012,April 2014,"Iran, Islamic Republic of"
88,89,NCT00199992,Wounds,Platelets in Acute Wounds: A Pilot Study (PAWS),Procedure,United States,January 2005,August 2005,United States
89,90,NCT03997526,Diabetic Foot Ulcer,3C Patch® Medicare Claims Study,Device,United States|United States|United States|United States|United States|United States,"July 15, 2020","December 31, 2022",United States
90,91,NCT04536597,Primiparity|Postpartum,Quince Seed Jelly and Breast Milk on Nipple Fissures,Other,,"October 15, 2015","May 10, 2017",
91,92,NCT02011802,Sinus Pilonidal,Sorbact TM: Effect of a Microbial Binding Dressing on Wound Healing After Pilonidal Sinus Excision,Device,France|France|France|France,December 2013,"September 1, 2017",France
92,93,NCT03076320,Acne Vulgaris Superficial Mixed Comedonal and Inflammatory,Pirfenidone Plus M-DDO Gel in Moderate and Severe Acne,Combination Product,Mexico,"March 27, 2017","March 31, 2019",Mexico
93,94,NCT02383992,Wound Healing,Postoperative Care of Sutured Wounds,Drug,United States,October 2015,"October 1, 2019",United States
94,95,NCT02940587,Venous Leg Ulcers,Effectiveness of Aurix Therapy in Venous Leg Ulcers,Device,United States,February 2015,February 2018,United States
95,96,NCT02284360,Healthy|Artificial Dermal Wound,"A Prospective Randomized Double-Blinded Placebo Controlled, Explorative Phase I Trial to Investigate the Safety and Tolerability of Two Different Doses of Topically Administered APOSEC™ in Healthy Male Subjects With Artificial Dermal Wounds",Drug,Austria,October 2014,June 2015,Austria
96,97,NCT03998436,Diabetic Foot Ulcer,Phase 3 Study to Evaluate the Safety and Efficacy of Galnobax® in Treating Diabetic Foot Ulcers,Drug,India|India|India|India|India|India|India|India,"December 26, 2018","October 30, 2020",India
97,98,NCT03282981,Chronic Diabetic Foot Ulcers|Diabetic Neuropathic Ulcers|Non Healing Wound,Beta Adrenergic Antagonist for the Healing of Chronic DFU,Drug,United States,"June 14, 2018","December 31, 2022",United States
98,99,NCT02389010,Diabetic Foot Ulcers,Clinical Efficacy of Platelet Gel From Cord Blood for the Treatment of Diabetic Foot Ulcers,Biological,Italy|Italy|Italy|Italy|Italy|Italy|Italy|Italy|Spain,January 2015,February 2017,Italy
99,100,NCT02352454,Venous Leg Ulcers,Effectiveness of Aurix Therapy in Venous Leg Ulcers,Device,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,February 2015,July 2018,United States
100,101,NCT02087215,Diabetic Foot Ulcer,Effect of Local Application of Boron on Diabetic Foot Ulcers,Drug,Turkey,January 2014,March 2015,Turkey
101,102,NCT04211597,"Cesarean Wound|Scar; Previous Cesarean Section, Complicating Pregnancy or Childbirth, Affecting Fetus or Newborn",EGF-loaded Chitosan to Facilitate Healing and Prevent Scar Formation of Cesarean Wound,Other,Taiwan,"September 5, 2017","December 28, 2018",Taiwan
102,103,NCT04046783,Cesarean Section; Dehiscence|Scar Keloid|Wound Heal,Patch With Onion Extract and Allantoin for C-section Scar,Device,Italy,"March 2, 2019","July 31, 2019",Italy
103,104,NCT03678233,Hypermetabolism in ICU|Loss of Muscle Mass|Functional Disability After ICU|ICU Acquired Hypogonadism|Treatment With Testosterone Gel in ICU,Efficacy of Testosterone Gel to Restore Normal Serum Values of Testosterone During the Acute Phase of Critical Illness in Adult ICU Patients,Drug,France,"February 28, 2019","March 31, 2020",France
104,105,NCT03204097,Chronic Periodontitis,Local Host Modulating Agents Alendronate & Aloe Vera for Treatment of Furcation Defects in Chronic Periodontitis,Drug,,March 2016,February 2017,
105,106,NCT04134676,Chronic Ulcer,Therapeutic Potential of Stem Cell Conditioned Medium on Chronic Ulcer Wounds,Drug,Indonesia|Indonesia|Indonesia,"June 1, 2019","June 10, 2020",Indonesia
106,107,NCT03938883,"Ophthalmology|Photorefractive Keratectomy (""PRK"")|Laser Assisted Surgery|Refractive Surgery","Ocular Bandage Gel (OBG) Pivotal Trial in Patients Undergoing Photorefractive Keratectomy (""PRK"")",Device,United States,"June 25, 2019","October 10, 2019",United States
107,108,NCT02169362,Acute Deep Partial Thickness Thermal Burns,Applying Platelet Rich Plasma (PRP) Gel to Acute Deep Partial Thickness Thermal Injuries,Device,United States|United States|United States|United States|United States|United States|United States|United States,July 2014,May 2018,United States
108,109,NCT04853589,Alveolar Osteitis,Effect of Hyaluronic Acid on the Therapy of Alveolar Osteitis,Device,,"May 1, 2021","May 1, 2022",
109,110,NCT04783233,Tympanoplasty Surgery,Chitogel CSK-4 Gel as Packing in Tympanoplasty Surgery,Biological,United States,"January 14, 2021","January 15, 2025",United States
110,111,NCT02352467,Pressure Ulcer,Effectiveness of Aurix Therapy in Pressure Ulcers,Device,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,February 2015,July 2018,United States
111,112,NCT04065594,Ulcer Foot|Chronic Skin Ulcer|Non-Healing Ulcer of Skin,Platelet Rich Plasma (PRP) Bio Stimulant Gel Dressing in Treating Chronic Non Healing Leg and Foot Ulcers: Cost and Effectiveness,Procedure,Egypt,"June 1, 2017","April 1, 2019",Egypt
112,113,NCT04803500,Immediate Implant Placement|Bone Regeneration|Alveolar Bone Resorption,Simvastatin Around Immediate Implant,Drug,,"April 2, 2015","May 3, 2016",
113,114,NCT01238302,Rotator Cuff Tear,Arthroscopic Rotator Cuff Repair With Platelet-Rich Plasma(PRP) in Large to Massive Tears,Procedure,"Korea, Republic of",July 2009,December 2012,"Korea, Republic of"
114,115,NCT01458665,Rotator Cuff Tear,Arthroscopic Rotator Cuff Repair With Platelet-Rich Plasma (PRP) in Medium to Large Rotator Cuff Tears,Procedure,"Korea, Republic of",October 2011,,"Korea, Republic of"
115,116,NCT02352480,Diabetic Foot Ulcers,Effectiveness of Aurix Therapy in Diabetic Foot Ulcers,Device,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,January 2015,July 2018,United States
116,117,NCT00598689,Corneal Epithelium Defect,GenTeal in Perioperative Treatment of Laser Assisted in Situ Keratomileusis LASIK Patients,Drug,United States,October 2007,October 2009,United States
117,118,NCT03068780,Epidermolysis Bullosa,Phase III Efficacy and Safety Study of Oleogel-S10 in Epidermolysis Bullosa,Drug,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Argentina|Argentina|Argentina|Australia|Australia|Australia|Australia|Austria|Brazil|Brazil|Brazil|Chile|Colombia|Czechia|Denmark|France|France|Georgia|Germany|Germany|Greece|Hong Kong|Hungary|Ireland|Israel|Italy|Italy|Italy|Romania|Russian Federation|Russian Federation|Serbia|Singapore|Spain|Spain|Spain|Spain|Switzerland|Ukraine|United Kingdom|United Kingdom,"March 29, 2017",July 2022,United States
118,119,NCT00316537,Diabetic Foot Ulcers,Safety and Preliminary Efficacy Study of Nicotine Gel to Treat Diabetic Foot Ulcers,Drug,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,October 2006,July 2007,United States
119,120,NCT03010319,Diabetic Foot Ulcer,PriMatrix for the Management of Diabetic Foot Ulcers,Device,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,January 2017,August 2020,United States
120,121,NCT01816633,Diabetic Foot Ulcers,Effectiveness of AutoloGel Therapy in Diabetic Foot Ulcers,Device,United States|United States,October 2013,January 2015,United States
121,122,NCT03275831,Venous Ulcer|Arterial Ulcer,PluroGel on Wounds of Mixed Etiology,Device,United Kingdom|United Kingdom,"January 8, 2018","October 22, 2023",United Kingdom
122,123,NCT01819142,Pressure Ulcer,AutoloGel Therapy to Usual and Customary Care in Pressure Ulcers,Device,United States,April 2013,January 2016,United States
123,124,NCT03593369,Venous Leg Ulcer,Assessment of the Evolution of Wound Biomarkers in Venous Leg Ulcers Treated With KLOX Biophotonic System,Device,Italy,"July 9, 2018",June 2020,Italy
124,125,NCT04715802,Breast|Mammaplasty|Breast Reconstruction,Options on the Breast Reconstruction Timing and Method After Removal of Polyacrylamide Hydrogel,Procedure,China,"October 18, 2006","December 31, 2022",China
125,126,NCT00754247,"Keloid|Hypertrophic Scar|Cicatrix, Hypertrophic",A Randomized Comparative Study Evaluating the Tolerability and Efficacy of Two Topical Therapies for the Treatment of Keloids and Hypertrophic Scars,Drug,United States,March 2006,February 2008,United States
126,127,NCT02845466,"Venous Ulcer|Foot Ulcer, Diabetic",Study of Combined Topical Growth Factor and Protease Inhibitor in Chronic Wound Healing,Biological,Canada,August 2018,September 2020,Canada
127,128,NCT02418676,Pressure Ulcer|Wound,Insulin Complexation With Hydroxypropyl-beta-cyclodextrin: Use of the Complex in Gel for Healing of Pressure Ulcers,Drug,,March 2013,July 2014,
128,129,NCT01105884,Diabetic Foot Ulcers,Clinical and Cost Effectiveness of Different Dressing Materials in Diabetic Foot Ulcers,Procedure,India,October 2009,July 2012,India
129,130,NCT02411851,Actinic Keratoses,Treatment of Actinic Keratoses (AK) on the Face,Drug,United States,March 2015,June 2016,United States
130,131,NCT04896853,COVID-19 Acute Respiratory Distress Syndrome,Treatment of Respiratory Complications Associated With COVID-19 Infection Using ProTrans®,Biological,Sweden,"May 18, 2021","December 31, 2024",Sweden
131,132,NCT00117364,Wounds,Effect of SACCHACHITIN on Healing of a Chronic Wound,Drug,Taiwan,January 2005,June 2005,Taiwan
132,133,NCT02709525,Alveolar Bone Loss,Use of Hyaluronic Acid as a Therapeutic Strategy for Bone Repair in Human,Drug,,July 2012,March 2016,
133,134,NCT00607685,Glaucoma|Trabeculectomy|Wound Healing,5FU vs 5FU With Viscoelastic Formulation for the Prevention of Scarring Post-trabeculectomy,Drug,Singapore,February 2008,January 2010,Singapore
134,135,NCT02540200,Disorder of Hip Region,Efficacy of BST-CarGel in Treating Chondral Lesions of the Hip,Device,,January 2017,August 2018,
135,136,NCT01817543,Venous Leg Ulcer,A Cohort Trial Comparing AutoloGel Therapy to Usual and Customary Care in Venous Leg Ulcers,Device,United States|United States,October 2013,January 2015,United States
136,137,NCT04692389,Radiodermatitis|Oncology|Quality of Life|Pain,Jalosome® Soothing Gel Efficacy Grade 2 or 3 Radiodermatitis.,Device,Switzerland,"February 1, 2021","March 31, 2023",Switzerland
137,138,NCT03229330,Venous Ulcer|Low-Level Light Therapy,Low-level Light Therapy on Treatment of Venous Ulcers Assesed by Nursing Outcome Classification (NOC),Procedure,Brazil,April 2016,December 2018,Brazil
138,139,NCT00565552,"Cicatrix, Hypertrophic|Keloid",Influence of a Silicone Gel (Dermatix®) on Thoracic Scar Formation After Harvesting of Autologous Rib Cartilage,Drug,Germany,January 2007,January 2009,Germany
139,140,NCT01509599,Venous Disease|Venous Vascular Diseases and Syndromes|Venous Insufficiency|Venous Ulcers,Cooling Lower Leg Skin to Prevent Venous Leg Ulcers in Patients With Poor Vein Circulation,Procedure,United States|United States,August 2011,December 2015,United States
140,141,NCT00382174,Pressure Ulcers,Study of Thymosin Beta 4 in Patients With Pressure Ulcers,Drug,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,May 2006,December 2008,United States
141,142,NCT04782921,Periodontitis Complex|Xenograft Model,Papillae Tunneling Techniques in the Treatment of Isolated Intrabony Defects,Device,Slovenia,"March 3, 2020","December 20, 2021",Slovenia
142,143,NCT02005861,Osteochondritis,"""One-step"" Bone Marrow Mononuclear Cell Transplantation in Talar Osteochondral Lesions",Procedure,Italy,April 2013,April 2018,Italy
143,144,NCT02403947,Multiple Sclerosis,MEsenchymal StEm Cells for Multiple Sclerosis,Drug,France,February 2015,December 2017,France
144,145,NCT03063138,Diabetes Mellitus|Diabetic Foot Ulcer|Wound|Chronic Disease,Evaluation of 3D Imaging Ulcer Camera,,Denmark,"August 1, 2015","March 1, 2017",Denmark
145,146,NCT02714543,Oral SubMucous Fibrosis,Evaluation of Efficacy of Aloevera in the Treatment of Oral Submucous Fibrosis- A Clinical Study,Drug,,November 2013,November 2015,
146,147,NCT02667327,Diabetic Foot Ulcers,A Study of Granexin Gel in the Treatment of Diabetic Foot Ulcer,Drug,United States|United States|United States|United States|United States|United States|Canada|Hungary|Hungary|India|India|India|India|India|India|India|India|India|India|India|India|India|India|India|India|Poland|Poland|Poland|Poland,"November 21, 2018","May 27, 2020",United States
147,148,NCT01837264,Compartment Syndrome,"Phase I, Arteriocyte Magellan MAR01 Therapy - Compartment Syndrome and Battlefield Trauma",Device,United States,January 2013,"January 31, 2017",United States
148,149,NCT03654989,Diabetic Foot Ulcer,Iontophoresis of Treprostinil to Enhance Wound Healing in Diabetic Foot Skin Ulcers,Drug,France,"January 28, 2020",September 2023,France
149,150,NCT03386682,Breast Augmentation|Breast Reconstruction,Evaluation of the Safety and Performance of ESTYME® MATRIX Round and Anatomical Breast Implants - EMMIE Study,Device,France|France|France|France|France|France|France|France,"March 23, 2018","April 12, 2021",France
150,151,NCT02470611,Periodontitis|Bone Resorption,Sodium Alendronate in Non Surgical Periodontal Therapy,Drug,Brazil,November 2012,November 2014,Brazil
151,152,NCT05031325,Colo-rectal Cancer,Efficacy of a Hemostatic Agent (PuraStat®) in Reducing Delayed Bleeding After Endoscopic Submucosal Dissection,Device,,"November 26, 2021","November 26, 2023",
152,153,NCT04710888,Oral Ulcer,Basil Extract (Ocimum Basilicum) in the Management of Recurrent Aphthous Stomatitis,Drug,Egypt,"January 1, 2021","December 1, 2021",Egypt
153,154,NCT03279549,Burn,Research on the Key Technology of Burn Wound Treatment,Procedure,,"July 1, 2018","September 30, 2019",
154,155,NCT04750447,"Glaucoma, Open-Angle",Safety and Efficacy of an Ab Interno Gelatin Stent (XEN63) With or Without Mitomycin C,Device,Canada,"November 9, 2020","December 9, 2021",Canada
155,156,NCT03402373,Skin Care,Evaluation of the Nutritional Supplement Lycoderm on Its Impact on Skin Parameters,Dietary Supplement,United States,"November 17, 2017","May 30, 2019",United States
156,157,NCT04730908,Fluoride Biomarkers in the Oral Mouth After Brushing Teeth With the Experimental Dentifrice|Bioavailability of Fluoride in the Oral Mouth,Dentifrice With Innovative Remineralizing Technology: a Randomized Clinical Study,Other,Brazil,"February 3, 2020","September 12, 2021",Brazil
157,158,NCT05018754,Graft Vs Host Disease|Oral Mucositis (Ulcerative)|Mesenchymal Stem Cells,Treatment of Oral Mucositis Using Platelet Rich Fibrin TREATMENT OF ORAL MUCOSITIS USING PRF,Device,Italy,"July 1, 2017","July 19, 2021",Italy
158,159,NCT01291940,Atopic Dermatitis|Eczema,The Effects of Emollient Therapy on the Skin Barrier,Other,United States,January 2011,December 2014,United States
159,160,NCT04383912,Direct Brow Lift|Scarring,Onabotulinum Toxin A in Direct Brow Lift,Drug,Canada,"November 18, 2020",June 2023,Canada
160,161,NCT02248077,Impaired Wound Healing,"A Prospective, Randomized, Controlled, Multi-Center, Study Evaluating AutoloGel Therapy for Complete Closure of Wagner Grade 1-4 Diabetic Foot Ulcers, Venous Leg Ulcers and Stage II-IV Pressure Ulcers",Device,,October 2014,,
161,162,NCT01431729,Oral Mucositis,"Honey and a Mixture of Honey, Beeswax and Olive Oil-propolis Extract in Treatment of Chemotherapy-induced Oral Mucositis",Other,Egypt,June 2010,July 2011,Egypt
162,163,NCT03026855,Chronic Ulcer,Autologous Platelet Rich Plasma (PRP) for the Treatment of Chronic Non-Healing Ulcers,Biological,India,June 2014,May 2016,India
163,164,NCT02379468,Diabetic Foot Ulcer,Efficacy & Safety of Pedyphar Ointment in Diabetic Foot Ulcer Treatment,Drug,Egypt|Egypt|Egypt|Egypt,April 2013,October 2014,Egypt
164,165,NCT01115634,Nasolabial Folds|Glabellar Crease|Deep Wrinkles of the Forehead|Acne Scars,Autologous Fibroblast Transplantation in Facial Deformities,Biological,"Iran, Islamic Republic of",September 2008,November 2015,"Iran, Islamic Republic of"
165,166,NCT00273234,Venous Ulcer,Clinical Effectiveness of Topical Autologous Platelet Gel for the Treatment of Venous Ulcers,Procedure,United States|United States|United States|United States|United States|United States,January 2006,November 2006,United States
166,167,NCT01632202,Intrauterine Adhesions,Seprafilm Slurry in the Prevention of Uterine Scarring in Patients Undergoing Hysteroscopic Myomectomy,Device,United States|United States,May 2012,January 2014,United States
167,168,NCT01680367,Pain|Perioperative/Postoperative Complications,Wound Dressings For Split-Thickness Skin Graft Donor Sites in Patients Undergoing Surgery,Procedure,United States,November 2008,July 2010,United States
168,169,NCT03731689,Intrauterine Adhesions,Treatment of Intrauterine Adhesions and Its Distribution of Genital Tract Flora,Drug,China,"May 1, 2018","December 31, 2021",China
169,170,NCT02212652,Vitamin D Deficiency|Vitamin D Insufficiency,Vitamin D to Improve Nutrition Prior to Bariatric Surgery and Investigate the Relationship With Negative Outcomes,Dietary Supplement,United States,January 2017,April 2017,United States
170,171,NCT03114956,Peri-implantitis,Surface Decontamination in Treatment of Peri-Implantitis,Procedure,,"June 19, 2019","June 19, 2019",
171,172,NCT02685917,Collagen Augmentation,Microfracture With/Without Collagen Augmentation in Patients Undergoing High Tibial Osteotomy,Procedure,,February 2016,,
172,173,NCT02371486,Infertility|Complications; Cesarean Section,Does Cesarean Section Scar Defect (Niche) Affect Implantation Rate?,Procedure,Israel,April 2016,February 2018,Israel
173,174,NCT04551443,Acute Myocardial Infarction,WJMSCs Anti-inflammatory Therapy in Acute Myocardial Infarction,Biological,,"November 1, 2020","December 30, 2022",
174,175,NCT03496753,Nipple Disorder,Effect of LED Therapy for Treatment Nipple Fissure,Device,Brazil,"August 20, 2018","August 20, 2019",Brazil
175,176,NCT04452734,Tooth Extraction,Efficacy of Platelet Rich Plasma (PRP) on Mouth Opening and Pain After Surgical Extraction of Mandibular Third Molars.,Procedure,,"July 21, 2015","May 14, 2016",
176,177,NCT03536260,Implant Placement in Maxillary Esthetic Zone,Evaluation of Marginal Bone Loss After Immediate Implant Placement in Maxillary Esthetic Zone With Nanobone Versus Xenograft,Device,Egypt,"July 1, 2017","June 30, 2018",Egypt
177,178,NCT03766139,Intrabony Periodontal Defect,Regenerative Potential of Supercell Glue and Platelet Rich Fibrin Matrix,Biological,India,December 2018,November 2019,India
178,179,NCT04617730,Radiodermatitis|Radiation Toxicity|Radiotherapy Side Effect,Efficacy of the Mepitel® Film on the Prevention of Radiodermatitis in the Inguinal Fold.,Device,,"January 1, 2021","January 1, 2025",
179,180,NCT01230931,Fracture Fixation|Intra-Articular Fractures|Acetabulum,Hemostasis in Kocher-Langenbeck Approaches for Acetabular Surgery Using a Topical Surgical Hemostat (Vitagel),Device,United States,October 2010,April 2012,United States
180,181,NCT04817228,Venous Leg Ulcer|Diabetic Foot Ulcer,"A Study to Evaluate the Clinical Performance, Safety and Pharmacology Effect of EscharEx in Patients With Lower Leg Ulcers",Drug,United States|United States|United States,"April 21, 2021",February 2022,United States
181,182,NCT04502914,Burns|Infection Wound|Bacterial Infections,The Study on Bacterial Load Following Open-to-air Management in Burn Patients.,Procedure,United States,"November 1, 2020","March 31, 2022",United States
182,183,NCT01513278,Radiation Induced Dermatitis,Study of APN201 (Liposomal Recombinant Human Cu/Zn-Superoxide Dismutase) for the Prevention of Radiation-induced Dermatitis in Women With Breast Cancer,Drug,Austria,January 2012,May 2012,Austria
183,184,NCT01350700,Scars Formation|Quality of Life,Long Term Follow up of Scars Formation and Quality of Life Assessment Study,Other,Slovakia,June 2011,"November 22, 2011",Slovakia
184,185,NCT04903366,"Glaucoma, Open-Angle|Chronic Wounds",Absorption and Safety of Topical Timolol to Treat Chronic Wounds,Drug,United States,"November 21, 2017","January 14, 2020",United States
185,186,NCT03920553,"Frenulum; Hypertrophy, Lip",Hyaluronic Acid Application Following Frenectomy,Biological,Turkey,"January 2, 2019","April 11, 2019",Turkey
186,187,NCT00545896,Chronic Nonhealing Wounds,Extracorporeal Shockwave Treatment for Chronic Soft Tissue Wounds,Procedure,Austria,September 2003,September 2010,Austria
187,188,NCT02833558,Gastrointestinal Haemorrhage,Purastat® vs Standard Therapy for Haemostasis During Endoscopic Submucosal Dissection,Device,United Kingdom,"May 4, 2016","May 18, 2018",United Kingdom
188,189,NCT00691821,Skin Ulcer|Pressure Ulcer,Negative Pressure Wound Therapy for the Treatment of Chronic Pressure Wounds,Other,Canada|Canada|Canada|Canada,April 2009,May 2010,Canada
189,190,NCT04032548,Gingivitis,Effectiveness of Propolis Mouthwash on Gingivitis,Drug,Malaysia,"February 18, 2019","June 5, 2019",Malaysia
190,191,NCT04643223,Burns|Hypertrophic Scar,Effect of Elastic Bandage With Tension on the Inflammatory Response of Hypertrophic Scars,Other,Brazil,"November 1, 2014","November 1, 2016",Brazil
191,192,NCT02596282,Neonatal Male Circumcision,"Enhanced Provision of Male Circumcision (MC) for HIV Prevention, Rakai, Uganda",Procedure,,October 2014,July 2015,
192,193,NCT03883295,"Endodontic Inflammation|Pulp Disease, Dental",Evaluation of Clinical and Radiological Success of Vital Amputation Treatment,Procedure,Turkey,"November 1, 2018","December 31, 2019",Turkey
193,194,NCT02634892,Pressure Ulcer,Pressure Redistributing Overlay With Targeted Cooling Technology (PRO-TECT) for Pressure Ulcer Prevention,Device,,"July 1, 2019","July 1, 2019",
194,195,NCT04750837,Platelet Rich Plasma,Platelet Rich Plasma and Diabetic Foot Ulcer,Procedure,Egypt,"January 16, 2020","January 20, 2021",Egypt
195,196,NCT00333060,Epiretinal Membrane|Macular Hole,Study of OT-551 Eye Drops to Prevent or Delay Progression of Nuclear Cataracts Following Vitreous Removal,Drug,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,November 2005,January 2008,United States
196,197,NCT04060563,Diastasis Recti,Frequency Specific Microcurrent for the Treatment of Diastasis Recti,Device,United States,"January 1, 2020","July 7, 2021",United States
197,198,NCT03569969,Tympanic Membrane Perforation,Comparison Tympanoplasty With Membrane Amniotic and Autologous Fascia,Procedure,,"January 1, 2016","December 1, 2017",
198,199,NCT04088045,Knee Osteoarthritis,High Frequency Intensive Autologous PRP Injection and Genicular Nerve Blocks in Treating Knee Osteoarthritis,Device,Taiwan,"August 1, 2019","July 31, 2021",Taiwan
199,200,NCT03897465,Acute Wounds,Comparative Evaluation of the propertieS of the Contact LAyer Dressing LOMatuell Pro® Versus UrgoTul® in the Management of Acute Wounds,Device,France,"February 11, 2019",October 2021,France
200,201,NCT04625179,"Edentulous; Alveolar Process, Atrophy",Melatonin and Hyaluronic Acid in Maxillary Sinus Augmentation,Other,Egypt,"December 3, 2019","December 7, 2020",Egypt
201,202,NCT04953260,Chronic Periodontitis|Intrabony Periodontal Defect,Comparative Study of APRF/CGF Technology in GTR,Other,China,"August 25, 2020",March 2022,China
202,203,NCT00368693,Diabetic Foot Ulcer,Efficacy and Safety Study of Dermal-Living Skin Replacement to Treat Diabetic Foot Ulcers,Device,United States|United States,August 2005,September 2007,United States
203,204,NCT04601532,Superficial Partial Thickness Burn,Superficial Partial-Thickness Burn Study,Device,United States,"June 11, 2021",December 2022,United States
204,205,NCT04006314,Knee Osteoarthritis,Platelet Rich Plasma and Neural Prolotherapy Injections in Treating Knee Osteoarthritis,Other,Taiwan,"September 4, 2018","July 31, 2020",Taiwan
205,206,NCT04719793,"Osteoarthritis, Knee",Umbilical Cord Derived Wharton's Jelly for Knee Osteoarthritis,Biological,,"January 1, 2022","December 31, 2023",
206,207,NCT03798353,Myocardial Infarction,Pericardial Matrix With Mesenchymal Stem Cells for the Treatment of Patients With Infarcted Myocardial Tissue,Combination Product,Spain,"May 13, 2019","May 13, 2021",Spain
